,Make,Model
1860,Cessna,172
1861,Maule,M7
1862,Luscombe,8
1863,Cessna,U206
1864,Cessna,R182
1866,COLUMBIA AIRCRAFT Mfg,LC41
1867,Aero Vodochody,L 39
1868,Aero Vodochody,L39
1869,Cessna,T210
1871,American Aviation,AA1
1872,Piper,PA18
1873,Piper,PA28
1877,Aviat,A1
1880,Piper,PA34
1881,Cessna,182
1883,Maule,M7
1888,HALLADAY ROY,LOCKHEED
1889,Piper,PA28
1890,Cessna,335
1891,Piper,PA32
1892,Piper,J3C
1893,Cirrus,SR22
1895,Cessna,152
1896,Cessna,U206
1898,Cirrus,SR22
1899,Piper,PA28
1900,Piper,PA32
1906,Commander,114
1907,Cessna,305
1908,CUB CRAFTERS INC,CC18
1909,Cessna,180
1912,Cessna,340A
1913,Cessna,150
1914,Mooney,M20J
1916,Piper,PA 12
1917,Taylorcraft,BC12
1919,Cessna,150L
1920,Schweizer,269C
1921,Cessna,206
1922,Beech,200
1924,MD HELICOPTERS,MD-369
1926,Schempp Hirth,DUO DISCUS T
1927,Cessna,180
1928,Aeronca,11AC
1929,Piper,PA44
1930,Stinson,108
1933,Schweizer,SGS 1 35
1934,Piper,PA28
1935,BOEING,B75N1
1936,Cessna,170
1937,Cessna,172
1939,Piper,PA 12
1941,PIPER,PA12
1942,Diamond,DA40
1945,Beech,35
1946,Cessna,P210N
1947,Piper,PA28
1948,Piper,PA18
1950,Piper,PA46
1951,CUBCRAFTERS,CC11-160
1952,Luscombe,8
1953,Beech,55
1954,Piper,PA32RT
1955,Piper,PA28R
1956,Cessna,140
1959,Stearman,A75N1(PT17)
1960,Beech,60
1961,Piper,PA28
1962,Cessna,P210
1963,Cessna,150
1964,Robinson,R44
1965,Schweizer,SGS 2 32
1967,Grumman,G164
1968,Air Tractor,AT 301
1969,Piper,PA46
1970,Luscombe,8
1973,Cessna,172
1974,Cessna,182
1975,AIRTIME,CYGNET
1976,Cessna,172
1977,Cessna,150
1978,Mooney,M20J
1979,Cessna,172
1981,Beech,35
1982,Cessna,P210
1983,Bell,212
1984,AIRBORNE,Edge X Classic
1985,Yakovlev,YAK 52
1986,Champion,7GCBC
1987,Piper,PA28
1988,Cessna,170
1989,Piper,PA22
1990,Cessna,182
1991,Piper,PA18
1992,MAULE,MX7
1993,Robinson,R22
1994,Beech,A36
1995,Aeronca,7AC
1999,Cessna,172
2000,NORTH AMERICAN,T-28B
2001,Piper,PA32R
2002,Champion,7KCAB
2003,Hughes,369
2004,Champion,8GCBC
2005,Cessna,T206
2007,Cessna,A188
2008,Piper,PA-28-235
2009,Cessna,172
2010,Air Tractor,AT 400
2011,HUGHES,369
2012,EVOLUTION TRIKES,REVO
2013,Cessna,A185
2014,Rans,S14
2015,Piper,PA28
2018,Cessna,172
2019,Piper,PA18
2020,Cessna,A185
2021,BEECH,B36TC
2022,Eurocopter,EC130
2026,Cirrus,SR22
2027,Beech,36
2028,Cessna,182
2030,Bell,206
2031,Piper,PA18
2033,QUICKSILVER,MXL II Sport
2034,Cessna,T210
2036,Air Tractor,AT502
2037,Cessna,U206
2039,Hughes,369
2040,Cessna,A185
2041,Cessna,140
2042,Globe,GC1B
2043,Beech,35
2044,Cessna,A188
2047,Cessna,R172E
2048,Schweizer,300
2049,Cessna,172
2051,Piper,PA18
2052,Cessna,172
2053,Cessna,180
2054,Cessna,U206
2055,CZECH SPORT AIRCRAFT AS,PIPER SPORT
2058,AERO COMMANDER,S2R
2059,Cessna,140
2060,Air Tractor,AT802
2061,Cessna,172
2062,DJI,Phantom
2063,Cessna,150
2064,Cessna,172
2066,Piper,J3C
2068,Beech,A36TC
2069,Piper,PA18
2070,Cessna,185
2071,Pipistrel,SINUS 912
2072,Piper,PA32R
2075,SMITH,HORNET
2076,Mooney,M20K
2079,Helio,H 295
2080,De Havilland,DHC8
2081,Cessna,U206
2082,Robinson,R22
2088,Maule,MX7
2089,AIRGYRO AVIATION LLC,TERCEL
2090,PIPER,PA18
2091,Piper,PA28
2092,Cessna,R182
2096,Cessna,T337
2097,Cessna,172
2098,Bell,206
2099,Cessna,207
2100,Cessna,172
2103,Cessna,A188
2104,Cessna,120
2106,Cessna,414
2107,Cessna,185
2108,Schweizer,SGS233
2109,Champion,7GCBC
2110,WSK PZL MIELEC,M-18A
2111,Cessna,172
2113,Cessna,140
2114,Cessna,172
2116,Champion,7GCAA
2117,Champion,8GCBC
2120,Beech,35
2121,Extra,EA 400
2122,De Havilland,DHC-2
2123,Beech,58
2124,COLUMBIA AIRCRAFT MFG,LC41-550FG
2125,AIRBUS,EC 130 T2
2126,Brantly,B-2
2128,Mooney,M20J
2130,Cessna,188
2133,Champion,7GCBC
2134,CUB CRAFTERS,CC18
2135,Beech,B300
2143,Cessna,A185
2144,Air Tractor,AT502
2146,Luscombe,8
2147,Piper,PA60
2149,Beech,A36
2151,Piper,PA24
2152,Cessna,172
2155,Cessna,172
2156,Extra,EA300
2157,Robinson,R44
2158,Cessna,172
2159,Cessna,177
2160,Piper,PA 12
2162,Cessna,172
2164,Piper,PA28
2165,Aeronca,7AC
2167,BELLANCA,8GCBC
2168,Cessna,152
2169,Robinson,R44
2170,Robinson,R44
2172,Boeing,767
2173,FLIGHTSTAR,SC II
2174,Cessna,172
2175,Cessna,140
2176,Luscombe,8
2177,Air Tractor,AT502
2179,Beech,C90
2180,Cessna,150
2181,Aero Commander,560
2183,Piper,PA24
2185,CONTINENTAL COPTERS INC.,TOMCAT MK5A
2186,Piper,PA32
2187,Cirrus,SR20
2189,Piper,PA46
2191,EUROCOPTER,AS 350 B3
2192,Bell,UH 1H
2193,Cessna,172
2194,AIRBORNE WINDSPORTS PTY LTD,EDGE XT-912-L
2195,Piper,PA32R
2198,Cessna,560
2200,Grumman,AA5
2202,AEROS,Venture
2204,Mooney,M20E
2205,Cessna,172
2208,Air Tractor,AT 301
2209,Douglas,DC3
2210,Cessna,150
2211,Cessna,195
2213,De Havilland,DH112 VENOM
2214,Cessna,310
2217,Bell,206
2219,SMITH,AEROSTAR601
2220,MICROLITES PTYLTD,Dragonfly B
2221,Cub Crafters,CC19
2222,APOLLO AIRCRAFT INC,Fox
2223,Cessna,180
2224,Piper,PA28
2225,Cessna,170
2227,PIPER,PA28
2229,Eagle,DW1
2231,De Havilland,DHC-2 MK l (L20A)
2232,Ryan,NAVION
2233,Cessna,172
2234,Diamond,DA20
2235,Cessna,172
2236,Cessna,172
2237,Piper,PA34
2240,Beech,V35
2241,Cessna,152
2242,Cessna,152
2243,Bell,206
2244,Cessna,182
2245,Curtiss Wright,C46
2247,Piper,PA18S
2248,Bell,47J
2251,Cessna,E162
2252,Champion,7GC
2253,Piper,PA 20
2255,QUICKSILVER,MXL II
2256,Schweizer,269D
2258,Cessna,172
2259,Cessna,172
2261,Cessna,182
2262,Air Tractor,AT 602
2263,Beech,90
2264,Cessna,150
2270,Cessna,A188B
2272,Cessna,182
2276,Cessna,150
2277,Air Tractor,AT-602
2278,Schempp Hirth,DISCUS CS
2279,Piper,PA28R
2280,Air Tractor,AT 502
2283,SCHEMPP-HIRTH FLUGZEUGBAU GMBH,VENTUS 3F
2284,De Havilland,DHC 3
2286,CLASSIC AIRCRAFT CORP,WACO
2287,Beech,T34
2288,Robinson,R44
2289,Beech,76
2290,Cessna,180
2291,NORTHWING,17
2292,Cessna,172
2293,Robinson,R44
2294,Cessna,182
2295,Robinson,R44
2296,Best Off,SKYRANGER
2297,Autogyro,CALIDUS
2298,Rockwell,114
2299,Aeronca,7CCM
2300,Piper,PA34
2302,EUROCOPTER DEUTSCHLAND GMBH,EC135 P1
2303,Aviat Aircraft Inc,A-1C
2304,Champion,8GCBC
2305,Bell,206
2306,Bell,47G
2307,CESSNA,172
2308,North American,AT
2309,Grumman,G164
2310,COSTRUZIONI AERONAUTICHE TECNA,P2002 SIERRA
2311,Evektor Aerotechnik,SPORTSTAR
2313,Hughes,369
2314,Cessna,208
2317,Piper,PA28
2320,Schempp Hirth,DISCUS CS
2321,Piper,PA46
2322,Cessna,172
2324,Robinson,R22
2326,AYRES,S2R
2327,Beech,58
2328,Cessna,421
2329,Cessna,A185
2330,Cessna,180
2331,Cessna,152
2332,Cessna,182
2333,Cessna,152
2334,Travel Air,2000
2335,Aeroprakt,A-22 VALOR
2336,Bell,206
2337,Piper,PA 25
2339,Cessna,337
2340,Cessna,182
2341,Piper,PA32
2342,CIRRUS,SR22
2343,Beech,A36
2344,Beech,35B33
2345,KUBICEK,BB30
2346,Robinson,R22
2347,Champion,7GCAA
2348,Piper,PA18
2350,Cessna,320
2351,Piper,PA18
2352,Cessna,T210
2354,Piper,PA28
2355,Schweizer,SGS 1 34
2356,COLUMBIA AIRCRAFT MFG,LC41
2357,GRUMMAN ACFT ENG COR-SCHWEIZER,G 164
2359,CESSNA,150J
2360,Air Tractor,AT502
2362,CESSNA,172S
2363,ROBINSON HELICOPTER,R22 BETA
2364,LEARJET INC,60
2366,PIPER,PA 18
2367,Taylorcraft,F19
2368,STEARMAN,B75
2372,JONKER SAILPLANES (PTY) LTD,JS1-C
2374,CESSNA,P210N
2375,ERCOUPE,415 D
2376,PIPER,PA 18-150
2377,Cessna,182
2378,SCHEMPP-HIRTH,STANDARD CIRRUS
2379,PZL-SWIDNIK,PW 5
2380,PIPER,PA 30
2381,Beech,D17
2382,CESSNA,172
2384,CESSNA,180
2385,DEHAVILLAND,BEAVER DHC 2 MK.1
2386,SCHEMPP HIRTH FLUGZEUGBAU GMBH,ARCUS M
2387,PIPER,PA 18-150
2389,Piper,PA18
2390,BEECH,V35B
2391,CESSNA,170
2392,CESSNA,180
2393,AIR TRACTOR INC,AT 301
2394,CESSNA,172
2395,AIRCRAFT MFG & DEVELOPMENT CO,CH 2000
2396,CIRRUS DESIGN CORP,SR22
2397,Robinson,R66
2399,Piper,PA22
2400,MOONEY,M20J
2401,BELL,OH 58A
2402,AIR TRACTOR INC,AT 502B
2404,JABIRU,J250
2405,PIPER,PA 32-300
2406,JABIRU USA SPORT AIRCRAFT LLC,J250
2407,CESSNA,150F
2408,CESSNA,TR182
2409,Pilatus,PC12
2410,CESSNA,182T
2411,RAYTHEON AIRCRAFT COMPANY,A36
2412,BELL,206
2413,PIPER,PA 30
2414,CESSNA,T210F
2415,Robinson,R22
2417,Piper,PA31
2418,PIPER,PA 28-140
2419,Piper,PA
2420,MCDONNELL DOUGLAS HELI CO,369
2421,DIAMOND AIRCRAFT IND INC,DA 20
2422,PIPER,PA18
2424,CESSNA,172D
2426,RGJ AVIATION LLC,JOHNSON AIR CAM
2427,BEECH,A35
2428,PIPER,PA 22
2429,BOEING,B75
2430,CESSNA,185
2431,GRUMMAN ACFT ENG COR-SCHWEIZER,G 164B
2432,CESSNA,172N
2433,CESSNA,180K
2434,Cessna,402
2435,DORNIER GMBH,ALPHA JET
2436,PIPER,PA 18
2437,CESSNA,172
2438,CESSNA,152
2439,PIPER,PA 34-200
2440,STINSON,L 5
2441,Rockwell International,112TC
2442,AERONCA,7BCM
2444,SCHWEIZER,269C
2445,PIPER,PA32R
2446,RAYTHEON AIRCRAFT COMPANY,58
2447,CESSNA,207
2448,CESSNA,175
2449,LUSCOMBE,8
2451,CESSNA,421C
2453,BEECH,A36
2454,ASTON KINSEY,TERCEL
2455,PIPER,PA 28
2456,CESSNA,170
2457,AVIAT AIRCRAFT INC,A 1
2458,CESSNA,182
2461,CESSNA,T182T
2462,CESSNA,172
2463,CESSNA,172
2464,PIPER,PA 44
2465,LET,L 23 SUPER BLANIK
2466,ROBINSON HELICOPTER,R44
2467,PIPER,PA 18
2469,WACO,YKS 7
2470,BEECH,58
2471,AEROVODOCHODY,L 29 DELFIN
2472,BELLANCA,7GCBC
2475,ROBINSON HELICOPTER COMPANY,R44 II
2477,BEECH,A23
2478,BEECH,F33A
2479,BELLANCA,7ECA
2480,BEECH,A36
2482,JABIRU USA SPORT AIRCRAFT LLC,J230-SP
2485,BELL,206B
2487,PIPER,PA18
2488,PIPER,PA 22
2489,GIPPSAERO PTY LTD,GA10
2490,CESSNA,180
2492,CESSNA,172
2493,BELLANCA,7ECA
2494,CESSNA,T210
2497,CESSNA,172
2498,PIPER,PA 31
2499,PIPER,PA 18-150
2500,BEECH,F33A
2501,DEHAVILLAND,BEAVER DHC 2
2502,PIPER,PA 12
2503,LUSCOMBE,8A
2504,CESSNA,210
2507,THRUSH AIRCRAFT INC,S2R-H80
2508,CIRRUS,SR22
2510,BEECH,A36
2511,NORTH AMERICAN,SNJ 2
2512,SCHLEICHER,ASW
2513,CESSNA,172
2514,CESSNA,180
2516,AYRES CORPORATION,S2R
2517,CESSNA,P210N
2519,CESSNA,172
2520,PIPER,PA 46
2521,CESSNA,337
2522,HUGHES AERO CORP,"PREDATOR ""C"""
2523,BEECH,D35
2524,AERONCA,7AC
2526,CIRRUS DESIGN CORP,SR22
2527,TAYLORCRAFT AVIATION CORP.,F21
2531,AERONCA,58B
2532,FAIRCHILD(HOWARD),M 62C(PT-23A)
2533,CESSNA,T182T
2534,CESSNA,150M
2535,CESSNA,182
2537,MAULE,M5
2538,PIPER,PA28
2539,LITE FLIGHT,DRAGONFLY
2540,ZS DELTA-BIELSKO WROCLAW,SZD 36 A COBRA 15
2541,PIPER,PA18
2543,CESSNA,150L
2544,CIRRUS DESIGN CORP,SR20
2545,AIR TRACTOR INC,AT 502B
2546,BEECH,P35
2547,CESSNA,152
2548,COSENTINO GAREY A,PEGASUS
2551,BELL,UH 1H
2552,CESSNA,172
2554,BEECH,D17S
2555,AMERICAN,AA
2556,LUSCOMBE,8
2559,PIPER,PA22
2562,AYRES CORPORATION,S2R G10
2563,CESSNA,140
2564,PIPER,PA28
2569,NORTH AMERICAN,NAVION
2570,RYAN,NAVION
2571,CESSNA,150
2572,PIPER,PA28
2573,CESSNA,421
2574,TAYLORCRAFT,BC12
2575,M-SQUARED AIRCRAFT,SPRINT 1000
2577,DIAMOND AIRCRAFT IND INC,DA 40
2578,PIPER,PA34
2579,MD HELICOPTER INC,369D
2580,I.C.A.-BRASOV (ROMANIA),IS 29D
2582,AIR TRACTOR INC,AT 402
2583,CESSNA,172
2584,PIPER,PA 14
2585,MAULE,M 7
2586,HUGHES,369A
2587,CESSNA,182D
2588,AEROSPATIALE,AS350 B2 ECUREUIL
2589,CESSNA,182
2592,CESSNA,150
2594,PIPER,PA 18
2595,CESSNA,182
2596,BOEING,A75N1(PT17)
2601,CESSNA,120
2605,GRUMMAN AMERICAN AVN. CORP.,AA 1B
2606,PIPER,PA 32R
2607,CESSNA,172
2608,CESSNA,182G
2609,SCHWEIZER,SGS123
2610,DIAMOND AIRCRAFT IND INC,DA 20
2613,CESSNA,170
2614,BEECH,35A33
2617,PIPER,PA-28-180
2619,BELL,OH 58C
2620,PIPER,PA28
2621,CHAMPION,7ECA
2622,PIPER,PA 28
2623,AEROPRO CZ S R O,A240
2625,CESSNA,172N
2626,CIRRUS DESIGN CORP,SR22
2627,BEECH,76
2628,PIPER,PA28
2629,CUB CRAFTERS INC,CC19
2630,ENSTROM HELICOPTER CORP,280C
2631,CESSNA,P210
2635,CESSNA,172
2637,PIPER,PA 34-200
2638,CESSNA,182F
2639,PIPER,PA 18-150
2640,PIPER,PA28
2641,CESSNA,182
2642,ZENAIR LTD,CH 2000
2644,PIPER,PA28
2645,BOEING,737-8H4
2646,CESSNA,182
2647,BEECH,58
2648,CESSNA,182
2649,AERONCA,7AC
2652,YAKOVLEV,YAK 52
2653,CESSNA AIRCRAFT CO,162
2654,PIPER,PA 15
2655,CESSNA,172
2656,SCHWEIZER,SGS 1 26
2658,CESSNA,A185
2659,PPHU EKOLOT,KR-030 TOPAZ
2660,AERONCA,7AC
2663,AIR TRACTOR INC,AT 802
2664,BEECH,58
2665,CESSNA,172
2668,BEECH,A36
2670,CESSNA,152
2673,CESSNA,172
2675,ROBINSON,R22
2676,PIPER,PA32
2681,COSMOS,PHASE III
2682,ROBINSON HELICOPTER,R22 BETA
2684,PIPER,PA28
2685,ROBINSON HELICOPTER COMPANY,R44 II
2686,BEECH,95B55
2690,GRUMMAN ACFT ENG COR-SCHWEIZER,G 164C
2691,CESSNA,172
2692,HUGHES,369
2693,CESSNA,182
2694,CESSNA,310
2698,BEECH,1900C
2699,CESSNA,182F
2700,AERONCA,65 LB
2701,PIPER,PA28R
2705,LUSCOMBE,8
2706,BEECH,76
2707,STINSON,108
2708,STINSON,108
2710,GRUMMAN,G 164A
2712,GULFSTREAM AM CORP COMM DIV,695A
2713,YAKOVLEV,YAK 52
2714,CESSNA,402
2715,EUROCOPTER,AS 350 B2
2717,CESSNA,152
2718,NORTH AMERICAN,SNJ 5
2719,NORTH WING UUM INC,SPORT X2-N
2721,PIPER,PA28
2723,MAULE,M 5-235C
2724,CESSNA,T303
2725,BELLANCA,7GCBC
2726,Piper,PA28R
2727,CESSNA AIRCRAFT CO,162
2729,PIPER,PA 25-235
2731,Eipper,QUICKSILVER
2733,REPUBLIC,RC 3
2734,CESSNA,120
2736,CESSNA,172
2738,MCDONNELL DOUGLAS,DC 9 83(MD-83)
2739,MOONEY,M20F
2740,PIPER,PA 22
2742,CIRRUS DESIGN CORP,SR22
2743,ROBINSON HELICOPTER COMPANY,R44
2745,ROBINSON HELICOPTER,R44
2746,AYRES CORPORATION,S2R
2749,COSTRUZIONI AERONAUTICHE TECNA,P92 EAGLET
2753,BEECH,95 B55
2754,MOONEY,M20R
2755,BEECH,G33
2756,AIRBORNE WINDSPORTS PTY LTD,XT-912-L
2757,PIPER,PA 28-161
2759,CESSNA,525
2762,CESSNA,T210N
2767,S.Z.D.,SZD 48 JANTAR STD 2
2769,TEXTRON AVIATION INC,G58
2772,CESSNA,A185
2773,PIPER,PA 24
2775,CESSNA,208B
2776,ROBINSON HELICOPTER,R22
2777,PIPER,PA34
2780,PIPER,PA 24-260
2781,CESSNA ECTOR,305A
2782,CESSNA,170
2783,PIPER AIRCRAFT INC,PA 28
2785,CIRRUS,SR22
2786,MD HELICOPTER,600
2789,MOONEY,M20J
2790,LUSCOMBE,8
2791,CESSNA,172
2796,PIPER,PA 12
2797,DIAMOND AIRCRAFT IND INC,DA 42 NG
2798,PIPER,PA28R
2800,CESSNA,210
2801,CESSNA,525C
2802,CESSNA,150
2803,CUB CRAFTERS INC,CC19
2804,PIPER,PA28
2807,CUB CRAFTERS,CC18-180
2810,CESSNA,180
2811,CESSNA,182
2812,PIPER,PA18
2813,CESSNA,180
2814,DIAMOND AIRCRAFT IND INC,DA 40
2815,PIPER,J3C
2816,CESSNA,172
2817,BEECH,99
2820,ULTRAMAGIC SA,N 300
2822,CESSNA,R182
2823,SCHWEIZER AIRCRAFT CORP,G 164B
2824,GLOBE,GC 1B
2825,MOONEY,M20E
2828,BEECH,V35
2830,MX AIRCRAFT LLC,MXS
2831,CHAMPION,7GC
2834,ROBINSON HELICOPTER,R22
2835,FLIGHTWORKS CORP,CAPELLA XS FW2C80TD
2836,CESSNA,172
2837,CESSNA,180K
2838,FAIRCHILD FUNK,M62C F 23A
2839,CESSNA,310R
2842,PIPER,PA24
2844,CUB CRAFTERS,PA18 150
2847,CESSNA,182
2848,LITHUANIAN FACTORY OF AVIATION,LAK 12
2851,CUBCRAFTERS INC,CC11-160
2852,AMERICAN CHAMPION AIRCRAFT,7GCBC
2853,CESSNA,172
2855,CUBCRAFTERS INC,CC11-160
2856,BEECH,C99
2857,CESSNA,210
2858,CIRRUS DESIGN CORP,SR22
2859,CIRRUS DESIGN CORP,SR20
2860,CESSNA,177
2861,PIPER,PA28
2862,HUGHES,269
2864,AEROPRO CZ,EUROFOX LSA
2865,CESSNA,T210
2866,PIPER,PA28
2867,CESSNA,152
2868,CESSNA,140
2869,CESSNA,172
2870,CESSNA,182
2871,LYONS ROBERT,NAVAJO HKS
2872,PIPER,PA 18-150
2873,CESSNA,172
2875,STINSON,108
2876,AMERICAN EUROCOPTER CORP,AS350B2
2878,PIPER,PA22
2879,HUGHES,269
2880,LEARJET INC,31
2881,CZECH SPORT AIRCRAFT AS,PIPER SPORT
2882,BEECH,76
2883,BELLANCA,1413
2884,CESSNA,180
2885,AMERICAN CHAMPION AIRCRAFT,8GCBC
2886,PIPER,PA 32R
2888,PIPER,PA 31P
2889,CESSNA,172
2890,CESSNA,172
2891,CESSNA,150M
2894,CESSNA,172
2895,CIRRUS DESIGN CORP,SR20
2897,PIPER,PA 28
2902,PIPER,PA32
2903,MESSERSCHMITT-BOLKOW-BLOHM,BK 117 B-2
2904,PIPER,PA28
2906,AERO COMMANDER,100-180
2907,BEECH,B
2908,PIPER,PA 32-300
2911,BELL,47G
2912,CESSNA,172
2913,PIPER,PA28R
2914,CESSNA,172
2917,BEECH,77
2919,QUEST AIRCRAFT COMPANY LLC,KODIAC 100
2920,AIR TRACTOR INC,AT-802
2922,PIPER,PA 28
2924,CESSNA,207
2925,COSTRUZIONI AERONAUTICHE TECNA,ASTORE
2926,AIRBORNE WINDSPORTS PTY LTD,EDGE XT 912 L
2927,ROBINSON HELICOPTER,R44
2928,ROBINSON HELICOPTER COMPANY,R44
2929,AERO COMMANDER,CALLAIR A 9
2931,CESSNA,172
2932,STEARMAN,B75
2934,PIPER,PA32R
2936,BEECH,58
2937,CESSNA,441
2938,SOKO,GALEB G 2
2939,CIRRUS DESIGN CORP,SR22T
2940,DIAMOND AIRCRAFT IND INC,DA 42
2941,CESSNA,172
2942,PIPER,PA28
2943,CESSNA,P210
2945,CESSNA,172
2946,PIPER,PA34
2948,PIPER,PA 22
2949,SIKORSKY,S76
2950,SOCATA,TBM 700
2951,CESSNA,402
2952,CESSNA,180
2956,CESSNA,172
2958,ROBINSON HELICOPTER,R22
2960,PIPER,PA 16
2961,ROBINSON HELICOPTER,R22
2964,SCHWEIZER,269D
2965,BEECH,C90
2966,HUGHES,369
2968,MOONEY AIRCRAFT CORP.,M20
2971,CESSNA,150
2972,CESSNA,180
2973,OLIVER LAWRENCE R,KITFOX IV 1200
2976,EUROCOPTER,EC130
2977,CUBCRAFTERS INC,CC11-160
2978,CESSNA,140
2988,PIPER,PA 24-260
2989,CESSNA,182T
2990,MOONEY,M20J
2991,PIPER,PA 34-220T
2992,PIPER,PA28
2993,CESSNA,172
2998,CESSNA,T303
3000,RAYTHEON AIRCRAFT COMPANY,400A
3001,CESSNA,150
3002,BEECH,95
3003,AMERICAN CHAMPION AIRCRAFT,7GCBC
3005,HUGHES HELICOPTERS INC,369
3008,ROBINSON HELICOPTER,R44
3010,BEECH,35 A33
3011,CESSNA,152
3013,BELL,OH 58C
3014,CESSNA,172
3015,CESSNA,P210N
3018,ROBINSON HELICOPTER,R22
3020,AIRBUS HELICOPTERS,EC 130
3021,HUGHES,369D
3022,AERO COMMANDER,680 F
3023,PIPER,PA28
3024,CESSNA,172F
3025,CESSNA,172
3027,BEECH,A36
3028,ROBINSON HELICOPTER COMPANY,R44 II
3031,PIPER,PA32R
3034,CESSNA,172
3035,MAULE,M 6
3036,SCHWEIZER,269C
3037,QUARTZ MOUNTAIN AEROSPACE,L-11E
3038,DEHAVILLAND,BEAVER DHC 2
3043,HELICOPTERES GUIMBAL,CABRI G2
3044,VANS AIRCRAFT INC,RV-12
3045,BEECH,A36
3046,CESSNA,210
3048,CESSNA,172RG
3050,CESSNA,172P
3052,BUCKEYE INDUSTRIES INC,DREAM MACHINE 582
3054,SWEARINGEN,SA227 TT
3058,TOMLINSON TRACY L,TUKAN
3060,PIPER,PA 32-300
3061,MOONEY,M20E
3064,BELL,UH-1H
3065,BEECH,B60
3067,MD HELICOPTERS INC,369HM
3069,CESSNA,210
3071,PIPER,J3L
3073,PIPER,PA 28
3076,BEECH,K35
3077,PIPER,PA 28-236
3078,BELL,UH 1H
3079,CESSNA,A185
3080,CUB CRAFTERS INC,CC18-180
3081,PIPER,PA 23-250
3082,CESSNA,170
3083,CUBCRAFTERS INC,CC11
3085,S.O.C.A.T.A.,MS893E
3087,BEECH,B19
3088,SWEARINGEN,SA227
3091,ROBINSON HELICOPTER COMPANY,R44 II
3092,CESSNA,170
3096,BELL HELICOPTER TEXTRON CANADA,407
3098,CESSNA,T210L
3099,CESSNA,150
3100,COSTRUZIONI AERONAUTICHE TECNA,P2006
3106,CESSNA,210
3109,PIPER,PA32
3110,PIPISTREL DOO AJDOVSCINA,VIRUS SW
3111,AEROPRO CZ,EUROFOX
3112,CESSNA,525A
3113,CESSNA,182
3114,CESSNA,150L
3117,CESSNA,172
3118,PIPER,PA 28R-200
3119,CESSNA,340
3121,LET,L 23 SUPER BLANIK
3123,MCDONNELL DOUGLAS,DC 9 33F
3124,X-AIR LLC,XA85
3127,CESSNA,172
3128,MOONEY,M20K
3129,PIPER,PA28
3130,BEECH,G35
3131,PIPER,PA 12
3132,AMERICAN CHAMPION AIRCRAFT,7GCAA
3133,AVIAT AIRCRAFT INC,A-1
3134,CESSNA,177
3136,PIPER,PA-28-201T
3137,PIPER,PA 23-250
3138,PIPER,PA22
3139,PIPER,PA 20
3140,MAULE,MX7
3141,Piaggio,P.180
3143,NORTH AMERICAN,NAVION
3144,GOLDEN CIRCLE AIR,T BIRD II
3145,HALLEY KFT,APOLLO
3147,PIPER,PA28
3148,PIPER,J3C
3149,CESSNA,182
3150,CESSNA,152
3151,CESSNA,150
3152,CESSNA,T210M
3155,SIKORSKY,S76
3156,PIPER,PA 32-300
3157,CESSNA,172P
3158,PIPER,PA 32R
3161,ROBINSON HELICOPTER COMPANY,R44
3163,PIPER,PA32
3166,SMITH,AEROSTAR 601
3167,CESSNA,U206
3168,BEECH,A36
3170,PIPER,PA28
3171,Czech Sport Aircraft a.s.,Sport Cruiser
3173,CESSNA,172C
3174,BEECH,C90
3175,CESSNA,172
3179,BEECH,58
3180,EUROCOPTER,AS 350
3182,RAYTHEON AIRCRAFT COMPANY,B36TC
3183,PIPER,PA 34-200T
3184,PIPER,PA 32
3185,ROBINSON HELICOPTER,R44
3186,NORTH AMERICAN,T 6
3188,PIPER,PA28
3190,CESSNA,402
3191,BEECH,C90
3193,BOEING,A75N1(PT17)
3194,PIPER,PA34
3195,CESSNA,180
3196,BOEING,737 800
3197,AIRBUS,A319 115
3198,PIPER,PA 31-310
3201,CESSNA,172
3204,CESSNA,172R
3206,CHAMPION,7EC
3207,ROBINSON HELICOPTER COMPANY,R22
3208,CESSNA,152
3209,CESSNA,172
3211,CESSNA,172
3212,ROBINSON HELICOPTER COMPANY,R44
3213,AERO COMMANDER,112
3217,PIPER,PA 18-125
3218,COLUMBIA AIRCRAFT MFG,LC41 550FG
3219,CESSNA,182
3223,CESSNA,172
3224,MOONEY,M20
3225,CESSNA,150F
3226,PIPER / LAUDEMAN,J3C 65
3227,PIPER,PA-28
3229,PIPER,PA 34-220T
3230,PIPER,PA46
3231,TEXTRON AVIATION,172
3232,AVEKO SRO,VL-3C-1
3234,LUSCOMBE,8
3236,MOONEY,M20C
3239,HUGHES,300
3240,CESSNA,421
3242,CESSNA,172N
3244,CESSNA,182S
3245,PIPER,PA 12
3246,CESSNA,172G
3247,BELLANCA,8KCAB
3248,CESSNA,172N
3250,ERCOUPE,415 CD
3251,ROBINSON HELICOPTER,R22 BETA
3253,CESSNA,152
3254,QUICKSILVER,MXL SPORT
3255,BOEING,A75N1(PT17)
3257,BELL HELICOPTER TEXTRON CANADA,407
3258,ROCKWELL INTERNATIONAL,112A
3261,CESSNA,172M
3262,PIPER,PA28
3263,BEECH,B 55
3265,PIPER,PA 28R-201T
3266,CESSNA,172
3267,PIPER,PA 28R
3270,CESSNA,T207A
3271,CESSNA,172RG
3272,TEXTRON AVIATION INC,172
3276,CESSNA,182H
3277,PIPER,PA32
3278,CESSNA,T210N
3279,ROBINSON HELICOPTER,R44
3280,STINSON,SR 5E
3283,CESSNA,180
3285,SOCATA,TB200
